model,rmse_mean,rmse_std,r2_mean,r2_std
BayesianRidge,5.695887661587736,0.6146888458020666,0.8300411696078047,0.051320714410340626
ElasticNet,5.71528957121862,0.5795665911066541,0.8285943245962297,0.05411313993897873
Ridge,5.733934902668551,0.5874029429659134,0.827245974903802,0.05581012773850547
Lasso,5.745843798975197,0.5696260269584387,0.8266867603814193,0.05524056012468372
LinearRegression,5.785475071034417,0.5928668240597096,0.8238197216900783,0.05845842840003252
MLP,6.411994147552922,0.6725529672312709,0.7920171520882914,0.06473875862970904
GradientBoosting,7.234091152489536,1.1581853500875336,0.7268968619902788,0.08334088356230274
XGBoost,7.271717534203043,1.1275831461611487,0.7256395876407623,0.07824263301117239
ExtraTrees,7.826711582422476,1.0945283959695882,0.6868051420952968,0.06536686171490072
RandomForest,8.336237465701643,1.08161425381806,0.6430933730320716,0.07644892502903564
SVR,10.487556924856266,1.3270403208422235,0.44394586570294664,0.08342766741318759
